编号,文本,拆分信息,时间,地点,术语,数量词,（粗粒度）分词,（细粒度）分词,词性,成分分析,简化模板,完整模板,简化模板线索词,完整模板线索词,简化模板类型,完整模板类型,（auto）时间,（auto）地点,（auto粗粒度）分词,（auto细粒度）分词,（auto）词性,（auto）成分分析
1-A,据图判断，该地	北京时间16时地面吸收的太阳热量最大,None,7,,6,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京 时间 16时 地面 吸收 的 太阳 热量 最 大,P NN VV PU DT NN term time NN VV DEC NN NN AD VA,,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,时间限定_0（北京时间16时）最值_1（该地，地面吸收的太阳热量，大，#）,0_6-7 1_13,0_6-7 1_13,时间限定 最值,时间限定 最值,7,,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,据 图 判断 ， 该 地 北京时间 16时 地面 吸收 的 太阳 热量 最 大,P NN NN PU DT NN term time NN VV DEC NN NN AD VA,( (IP (PP (P 据) (IP (NP (NN 图)) (VP (VV 判断)))) (PU ，) (NP (NP (NP (DP (DT 该)) (NP (NN 地))) (NP (NN 北京时间))) (CP (IP (NP (NT 16时)) (NP (NN 地面)) (VP (VV 吸收))) (DEC 的)) (NP (NN 太阳) (NN 热量))) (VP (ADVP (AD 最)) (VP (VA 大)))) )
37-A,两省农业发展应采取的措施正确的是	江苏省增加林业用地，建设立体农业,y,,11,17,,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 增加 林业 用地 ， 建设 立体农业,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 增加 林业 用地 ， 建设 立体农业,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN NN PU VV term,,,,,,,,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 增加 林业 用地 ， 建设 立体农业,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 增加 林业 用地 ， 建设 立体农业,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN NN PU VV term,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 江苏省)) (VP (VP (VV 增加) (NP (NN 林业) (NN 用地))) (PU ，) (VP (VV 建设) (NP (NN 立体农业))))))) )
37-A-0,两省农业发展应采取的措施正确的是	江苏省增加林业用地,ed-ori,,11,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 增加 林业 用地,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 增加 林业 用地,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN NN,,,,,,,,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 增加 林业 用 地,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 增加 林业 用 地,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN VV NN,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 江苏省)) (VP (VV 增加) (NP (NN 林业) (NN 用地)))))) )
37-A-1,两省农业发展应采取的措施正确的是	江苏省建设立体农业,ed-mod,,11,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 建设 立体 农业,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 建设 立体 农业,CD NN NN NN VV VV DEC NN VA DEC VC loc VV JJ NN,,,,,,,,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 建设 立体农业,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 建设 立体农业,CD NN NN NN VV VV DEC NN VA DEC VC loc VV JJ NN,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 江苏省)) (VP (VV 建设) (NP (ADJP (JJ 立体)) (NP (NN 农业))))))) )
37-B,两省农业发展应采取的措施正确的是	江苏省开发海洋资源，发展海洋经济,y,,11,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 开发 海洋 资源 ， 发展 海洋 经济,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 开发 海洋 资源 ， 发展 海洋 经济,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN NN PU VV NN NN,,,,,,,,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 开发 海洋 资源 ， 发展 海洋 经济,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 开发 海洋 资源 ， 发展 海洋 经济,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN NN PU VV NN NN,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 江苏省)) (VP (VP (VV 开发) (NP (NN 海洋) (NN 资源))) (PU ，) (VP (VV 发展) (NP (NN 海洋) (NN 经济))))))) )
37-B-0,两省农业发展应采取的措施正确的是	江苏省开发海洋资源,ed-ori,,11,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 开发 海洋 资源,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 开发 海洋 资源,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN NN,,,,,,,,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 开发 海洋 资源,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 开发 海洋 资源,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN NN,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 江苏省)) (VP (VV 开发) (NP (NN 海洋) (NN 资源)))))) )
37-B-1,两省农业发展应采取的措施正确的是	江苏省发展海洋经济,ed-mod,,11,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 发展 海洋 经济,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 发展 海洋 经济,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN NN,,,,,,,,,11,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 发展 海洋 经济,两 省 农业 发展 应 采取 的 措施 正确 的 是 江苏省 发展 海洋 经济,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN NN,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 江苏省)) (VP (VV 发展) (NP (NN 海洋) (NN 经济)))))) )
37-C,两省农业发展应采取的措施正确的是	陕西省全面封山育林，防治水土流失,y,,11,17,,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 全面 封山 育林 ， 防治 水土流失,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 全面 封山 育林 ， 防治 水土 流失,CD NN NN NN VV VV DEC NN VA DEC VC loc AD VV VV PU VV term,,,,,,,,,11,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 全面 封山 育林 ， 防治 水土流失,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 全面 封山 育林 ， 防治 水土流失,CD NN NN NN VV VV DEC NN VA DEC VC loc AD VV NN PU VV term,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 陕西省)) (VP (ADVP (AD 全面)) (VP (VP (VCD (VV 封山) (VV 育林))) (PU ，) (VP (VV 防治) (NP (NN 水土流失)))))))) )
37-C-0,两省农业发展应采取的措施正确的是	陕西省全面封山育林,ed-ori,,11,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 全面 封山 育林,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 全面 封山 育林,CD NN NN NN VV VV DEC NN VA DEC VC loc AD VV VV,,,,,,,,,11,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 全面 封山 育林,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 全面 封山 育林,CD NN NN NN VV VV DEC NN VA DEC VC loc AD VV NN,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 陕西省)) (VP (ADVP (AD 全面)) (VP (VCD (VV 封山) (VV 育林))))))) )
37-C-1,两省农业发展应采取的措施正确的是	陕西省防治水土流失,ed-mod,,11,13,,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 防治 水土流失,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 防治 水土 流失,CD NN NN NN VV VV DEC NN VA DEC VC loc VV term,,,,,,,,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 防治 水土流失,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 防治 水土流失,CD NN NN NN VV VV DEC NN VA DEC VC loc VV term,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 陕西省)) (VP (VV 防治) (NP (NN 水土流失)))))) )
37-D,两省农业发展应采取的措施正确的是	陕西省调整农业结构，大力发展种植业,y,,11,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 调整 农业 结构 ， 大力 发展 种植业,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 调整 农业 结构 ， 大力 发展 种植业,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN NN PU AD VV NN,,,,,,,,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 调整 农业 结构 ， 大力 发展 种 植业,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 调整 农业 结构 ， 大力 发展 种 植业,CD NN NN NN VV VV DEC NN VA DEC VC loc VV NN NN PU AD VV NN,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 陕西省)) (VP (VP (VV 调整) (NP (NN 农业) (NN 结构))) (PU ，) (VP (ADVP (AD 大力)) (VP (VV 发展) (NP (NN 种植业)))))))) )
37-D-0,两省农业发展应采取的措施正确的是	陕西省调整农业结构,ed-ori,,,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 调整 农业 结构,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 调整 农业 结构,CD NN NN NN VV VV DEC NN VA DEC VC NR VV NN NN,,,,,,,,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 调整 农业 结构,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 调整 农业 结构,CD NN NN NN VV VV DEC NN VA DEC VC NR VV NN NN,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (IP (NP (NR 陕西省)) (VP (VV 调整) (NP (NN 农业) (NN 结构)))))) )
37-D-1,两省农业发展应采取的措施正确的是	陕西省大力发展种植业,ed-mod,,11,,,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 大力 发展 种植业,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 大力 发展 种植业,CD NN NN NN VV VV DEC NN VA DEC VC loc AD VV NN,,,,,,,,,11,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 大力 发展 种 植业,两 省 农业 发展 应 采取 的 措施 正确 的 是 陕西省 大力 发展 种 植业,CD NN NN NN VV VV DEC NN VA DEC VC loc AD VV NN,( (IP (NP (CP (IP (NP (NP (QP (CD 两)) (NP (NN 省))) (NP (NN 农业) (NN 发展))) (VP (VV 应) (VP (VV 采取)))) (DEC 的)) (NP (NN 措施))) (NP (CP (IP (VP (VA 正确))) (DEC 的))) (VP (VC 是) (NP (CP (IP (NP (NR 陕西省)) (VP (ADVP (AD 大力)) (VP (VV 发展))))) (NP (NN 种植业))))) )
38-A,在世界空间周期间	计算机技术,None,,,5,,在 世界 空间 周期 间 计算机技术,在 世界 空间 周期 间 计算机 技术,P NN NN NN LC term,,,,,,,,,,在 世界 空间 周期 间 计算机 技术,在 世界 空间 周期 间 计算机 技术,P NN NN NN LC term,( (IP (VP (PP (P 在) (LCP (NP (NN 世界) (NN 空间) (NN 周期)) (LC 间))) (VP (NP (NN 计算机技术))))) )
38-B,在世界空间周期间	遥感技术,None,,,5,,在 世界 空间 周期 间 遥感技术,在 世界 空间 周期 间 遥感 技术,P NN NN NN LC term,,,,,,,,,,在 世界 空间 周期 间 遥感技术,在 世界 空间 周期 间 遥感技术,P NN NN NN LC term,( (IP (VP (PP (P 在) (LCP (NP (NN 世界) (NN 空间) (NN 周期)) (LC 间))) (VP (NP (NN 遥感技术))))) )
38-C,在世界空间周期间	地理信息系统,None,,,5,,在 世界 空间 周期 间 地理信息系统,在 世界 空间 周期 间 地理 信息 系统,P NN NN NN LC term,,,,,,,,,,在 世界 空间 周期 间 地理信息系统,在 世界 空间 周期 间 地理信息系统,P NN NN NN LC term,( (IP (VP (PP (P 在) (LCP (NP (NN 世界) (NN 空间) (NN 周期)) (LC 间))) (VP (NP (NN 地理信息系统))))) )
38-D,在世界空间周期间	全球定位系统,None,,,5,,在 世界 空间 周期 间 全球定位系统,在 世界 空间 周期 间 全球 定位 系统,P NN NN NN LC term,,,,,,,,,,在 世界 空间 周期 间 全球定位系统,在 世界 空间 周期 间 全球定位系统,P NN NN NN LC term,( (IP (VP (PP (P 在) (LCP (NP (NN 世界) (NN 空间) (NN 周期)) (LC 间))) (VP (NP (NN 全球定位系统))))) )
39-A,与火星环境相比，地球上存在生命是因为	距太阳远，温度适宜,y,,1 5 12,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 距 太阳 远 ， 温度 适宜,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 距 太阳 远 ， 温度 适宜,P NN NN VV PU NN LC VV NN VC P VV NN VA PU NN VA,,,,,,,,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 距 太阳 远 ， 温度 适宜,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 距 太阳 远 ， 温度 适宜,P NN NN VV PU NN LC VV NN VC P VV NN VA PU NN VA,( (IP (IP (VP (PP (P 与) (NP (NN 火星) (NN 环境))) (VP (VV 相比)))) (PU ，) (LCP (NP (NN 地球)) (LC 上)) (IP (VP (VV 存在) (NP (NN 生命)))) (VP (VC 是) (PP (P 因为) (IP (VP (VV 距) (IP (IP (NP (NN 太阳)) (VP (VA 远))) (PU ，) (IP (NP (NN 温度)) (VP (VA 适宜))))))))) )
39-A-0,与火星环境相比，地球上存在生命是因为	距太阳远,ed-ori,,1 5 12,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 距 太阳 远,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 距 太阳 远,P NN NN VV PU NN LC VV NN VC P VV NN VA,,,,,,,,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 距 太阳 远,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 距 太阳 远,P NN NN VV PU NN LC VV NN VC P VV NN VA,( (IP (IP (VP (PP (P 与) (NP (NN 火星) (NN 环境))) (VP (VV 相比)))) (PU ，) (LCP (NP (NN 地球)) (LC 上)) (IP (VP (VV 存在) (NP (NN 生命)))) (VP (VC 是) (PP (P 因为) (IP (VP (VV 距) (IP (NP (NN 太阳)) (VP (VA 远)))))))) )
39-A-1,与火星环境相比，地球上存在生命是因为	温度适宜,ed-ori,,1 5,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 温度 适宜,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 温度 适宜,P loc NN VV PU loc LC VV NN VC P NN VA,,,,,,,,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 温度 适宜,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 温度 适宜,P loc NN VV PU loc LC VV NN VC P NN VA,( (IP (IP (VP (PP (P 与) (NP (NP (NR 火星)) (NP (NN 环境)))) (VP (VV 相比)))) (PU ，) (IP (LCP (NP (NR 地球)) (LC 上)) (VP (VV 存在) (NP (NN 生命)))) (VP (VC 是) (PP (P 因为) (IP (NP (NN 温度)) (VP (VA 适宜)))))) )
39-B,与火星环境相比，地球上存在生命是因为	质量适中，保证了液态水的存在,n,,1 5,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 质量 适中 ， 保证 了 液态水 的 存在,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 质量 适中 ， 保证 了 液态水 的 存在,P loc NN VV PU loc LC VV NN VC P NN VA PU VV AS NN DEG NN,,,,,,,,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 质量 适中 ， 保证 了 液态水 的 存在,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 质量 适中 ， 保证 了 液态水 的 存在,P loc NN VV PU loc LC VV NN VC P NN VA PU VV AS NN NN DEG NN,( (IP (IP (VP (PP (P 与) (NP (NP (NR 火星)) (NP (NN 环境)))) (VP (VV 相比)))) (PU ，) (IP (LCP (NP (NR 地球)) (LC 上)) (VP (VV 存在) (NP (NN 生命)))) (VP (VP (VC 是) (PP (P 因为) (IP (NP (NN 质量)) (VP (VA 适中))))) (PU ，) (VP (VV 保证) (AS 了) (NP (DNP (NP (NN 液态水)) (DEG 的)) (NP (NN 存在)))))) )
39-C,与火星环境相比，地球上存在生命是因为	长期演化，形成适合生物生存的大气,n,,1 5,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 长期 演化 ， 形成 适合 生物 生存 的 大气,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 长期 演化 ， 形成 适合 生物 生存 的 大气,P loc NN VV PU loc LC VV NN VC P AD VV PU VV VV NN NN DEG NN,,,,,,,,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 长期 演化 ， 形成 适合 生物 生存 的 大气,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 长期 演化 ， 形成 适合 生物 生存 的 大气,P loc NN VV PU loc LC VV NN VC P AD VV PU VV VV NN NN DEG NN,( (IP (IP (VP (PP (P 与) (NP (NP (NR 火星)) (NP (NN 环境)))) (VP (VV 相比)))) (PU ，) (IP (LCP (NP (NR 地球)) (LC 上)) (VP (VV 存在) (NP (NN 生命)))) (VP (VC 是) (PP (P 因为) (IP (IP (VP (ADVP (AD 长期)) (VP (VV 演化)))) (PU ，) (VP (VV 形成) (VP (VV 适合) (NP (DNP (NP (NN 生物) (NN 生存)) (DEG 的)) (NP (NN 大气))))))))) )
39-D,与火星环境相比，地球上存在生命是因为	公转轨道不相交，运行环境安全,y,,1 5,11,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 轨道 不 相交 ， 运行 环境 安全,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 轨道 不 相交 ， 运行 环境 安全,P loc NN VV PU loc LC VV NN VC P term NN AD VV PU NN NN VA,,,,,,,,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 轨道 不 相交 ， 运行 环境 安全,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 轨道 不 相交 ， 运行 环境 安全,P loc NN VV PU loc LC VV NN VC P term NN AD VV PU NN NN NN,( (IP (IP (VP (PP (P 与) (NP (NP (NR 火星)) (NP (NN 环境)))) (VP (VV 相比)))) (PU ，) (IP (LCP (NP (NR 地球)) (LC 上)) (VP (VV 存在) (NP (NN 生命)))) (VP (VC 是) (PP (P 因为) (IP (IP (NP (NN 公转) (NN 轨道)) (VP (ADVP (AD 不)) (VP (VV 相交)))) (PU ，) (IP (NP (NN 运行) (NN 环境)) (VP (VA 安全))))))) )
39-D-0,与火星环境相比，地球上存在生命是因为	公转轨道不相交,ed-ori,,1 5,11,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 轨道 不 相交,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 轨道 不 相交,P loc NN VV PU loc LC VV NN VC P term NN AD VV,,,,,,,,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 轨道 不 相交,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 轨道 不 相交,P loc NN VV PU loc LC VV NN VC P term NN AD VV,( (IP (IP (VP (PP (P 与) (NP (NP (NR 火星)) (NP (NN 环境)))) (VP (VV 相比)))) (PU ，) (IP (LCP (NP (NR 地球)) (LC 上)) (VP (VV 存在) (NP (NN 生命)))) (VP (VC 是) (PP (P 因为) (IP (NP (NN 公转) (NN 轨道)) (VP (ADVP (AD 不)) (VP (VV 相交))))))) )
39-D-1,与火星环境相比，地球上存在生命是因为	公转运行环境安全,ed-mod,,1 5,11,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 运行 环境 安全,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 运行 环境 安全,P loc NN VV PU loc LC VV NN VC P term NN NN VA,,,,,,,,,,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 运行 环境 安全,与 火星 环境 相比 ， 地球 上 存在 生命 是 因为 公转 运行 环境 安全,P loc NN VV PU loc LC VV NN VC P term NN NN NN,( (IP (IP (VP (PP (P 与) (NP (NP (NR 火星)) (NP (NN 环境)))) (VP (VV 相比)))) (PU ，) (IP (LCP (NP (NR 地球)) (LC 上)) (VP (VV 存在) (NP (NN 生命)))) (VP (VC 是) (PP (P 因为) (IP (NP (NN 公转) (NN 运行) (NN 环境)) (VP (VA 安全)))))) )
40-A,空间站能够进行全球观测和监测，采用的地理信息技术是	北京的昼渐短、夜渐长,None,,12,10,,空间站 能够 进行 全球 观测 和 监测 ， 采用 的 地理信息技术 是 北京 的 昼 渐 短 、 夜 渐 长,空间站 能够 进行 全球 观测 和 监测 ， 采用 的 地理 信息 技术 是 北京 的 昼 渐 短 、 夜 渐 长,NN VV VV NN NN CC NN PU VV DEC term VC loc DEG NN AD VA PU NN AD VA,,,,,,,,,12,空间站 能够 进行 全球 观测 和 监测 ， 采用 的 地理信息技术 是 北京 的 昼渐短 、 夜渐长,空间站 能够 进行 全球 观测 和 监测 ， 采用 的 地理信息技术 是 北京 的 昼渐短 、 夜渐长,NN VV VV NN NN CC NN PU VV DEC term VC loc DEG NN AD VA PU NN AD VA,( (IP (IP (NP (NN 空间站)) (VP (VV 能够) (VP (VV 进行) (NP (NN 全球) (NN 观测) (CC 和) (NN 监测))))) (PU ，) (NP (CP (IP (VP (VV 采用))) (DEC 的)) (NP (NN 地理信息技术))) (VP (VC 是) (IP (IP (NP (DNP (NP (NR 北京)) (DEG 的)) (NP (NN 昼))) (VP (ADVP (AD 渐)) (VP (VA 短)))) (PU 、) (IP (NP (NN 夜)) (VP (ADVP (AD 渐)) (VP (VA 长))))))) )
40-B,空间站能够进行全球观测和监测，采用的地理信息技术是	海口阳光照进室内面积变小,None,,12,10,,空间站 能够 进行 全球 观测 和 监测 ， 采用 的 地理信息技术 是 海口 阳光 照进 室内 面积 变小,空间站 能够 进行 全球 观测 和 监测 ， 采用 的 地理 信息 技术 是 海口 阳光 照进 室内 面积 变小,NN VV VV NN NN CC NN PU VV DEC term VC loc NN VV NN NN VV,,,,,,,,,,空间站 能够 进行 全球 观测 和 监测 ， 采用 的 地理信息技术 是 海口 阳光 照进 室内 面积 变 小,空间站 能够 进行 全球 观测 和 监测 ， 采用 的 地理信息技术 是 海口 阳光 照进 室内 面积 变 小,NN VV VV NN NN CC NN PU VV DEC term VC loc NN VV NN NN VV JJ,( (IP (IP (NP (NN 空间站)) (VP (VV 能够) (VP (VV 进行) (NP (NN 全球) (NN 观测) (CC 和) (NN 监测))))) (PU ，) (NP (CP (IP (VP (VV 采用))) (DEC 的)) (NP (NN 地理信息技术))) (VP (VC 是) (IP (IP (NP (NP (NR 海口)) (NP (NN 阳光))) (VP (VV 照进))) (IP (NP (NN 室内) (NN 面积)) (VP (VV 变小)))))) )
